MUNICIPIO_RESIDENCIA;NUM_CASOS;DATA;CodigoIBGE;URS;Micro;Macro
IPATINGA;1;04/03/2020;313130;CORONEL FABRICIANO;IPATINGA;VALE DO ACO
DIVINOPOLIS;1;07/03/2020;312230;DIVINOPOLIS;DIVINOPOLIS;OESTE
JUIZ DE FORA;1;14/03/2020;313670;JUIZ DE FORA;JUIZ DE FORA;SUDESTE
PATROCINIO;1;14/03/2020;314810;UBERLANDIA;PATROCINIO/MONTE CARMELO;TRIANGULO DO NORTE
BELO HORIZONTE;2;16/03/2020;310620;BELO HORIZONTE;BELO HORIZONTE/NOVA LIMA/CAETE;CENTRO
CORONEL FABRICIANO;1;16/03/2020;311940;CORONEL FABRICIANO;CORONEL FABRICIANO/TIMOTEO;VALE DO ACO
JUIZ DE FORA;1;16/03/2020;313670;JUIZ DE FORA;JUIZ DE FORA;SUDESTE
BELO HORIZONTE;2;17/03/2020;310620;BELO HORIZONTE;BELO HORIZONTE/NOVA LIMA/CAETE;CENTRO
NOVA LIMA;3;17/03/2020;314480;BELO HORIZONTE;BELO HORIZONTE/NOVA LIMA/CAETE;CENTRO
SETE LAGOAS;1;17/03/2020;316720;SETE LAGOAS;SETE LAGOAS;CENTRO
UBERLANDIA;1;17/03/2020;317020;UBERLANDIA;UBERLANDIA/ARAGUARI;TRIANGULO DO NORTE
BELO HORIZONTE;6;18/03/2020;310620;BELO HORIZONTE;BELO HORIZONTE/NOVA LIMA/CAETE;CENTRO
NOVA LIMA;1;18/03/2020;314480;BELO HORIZONTE;BELO HORIZONTE/NOVA LIMA/CAETE;CENTRO
BELO HORIZONTE;4;19/03/2020;310620;BELO HORIZONTE;BELO HORIZONTE/NOVA LIMA/CAETE;CENTRO
NOVA LIMA;1;19/03/2020;314480;BELO HORIZONTE;BELO HORIZONTE/NOVA LIMA/CAETE;CENTRO
BELO HORIZONTE;4;20/03/2020;310620;BELO HORIZONTE;BELO HORIZONTE/NOVA LIMA/CAETE;CENTRO
JUIZ DE FORA;3;20/03/2020;313670;JUIZ DE FORA;JUIZ DE FORA;SUDESTE
MARIANA;1;20/03/2020;314000;BELO HORIZONTE;OURO PRETO;CENTRO
NOVA LIMA;2;20/03/2020;314480;BELO HORIZONTE;BELO HORIZONTE/NOVA LIMA/CAETE;CENTRO
POCOS DE CALDAS;1;20/03/2020;315180;POUSO ALEGRE;POCOS DE CALDAS;SUL
UBERABA;1;20/03/2020;317010;UBERABA;UBERABA;TRIANGULO DO SUL
BELO HORIZONTE;24;21/03/2020;310620;BELO HORIZONTE;BELO HORIZONTE/NOVA LIMA/CAETE;CENTRO
BETIM;1;21/03/2020;310670;BELO HORIZONTE;BETIM;CENTRO
CONTAGEM;1;21/03/2020;311860;BELO HORIZONTE;CONTAGEM;CENTRO
JUIZ DE FORA;2;21/03/2020;313670;JUIZ DE FORA;JUIZ DE FORA;SUDESTE
NOVA LIMA;2;21/03/2020;314480;BELO HORIZONTE;BELO HORIZONTE/NOVA LIMA/CAETE;CENTRO
OUTROS ESTADO/PAIS;1;21/03/2020;;;;
TIMOTEO;1;21/03/2020;316870;CORONEL FABRICIANO;CORONEL FABRICIANO/TIMOTEO;VALE DO ACO
UBERABA;2;21/03/2020;317010;UBERABA;UBERABA;TRIANGULO DO SUL
UBERLANDIA;2;21/03/2020;317020;UBERLANDIA;UBERLANDIA/ARAGUARI;TRIANGULO DO NORTE
BELO HORIZONTE;12;22/03/2020;310620;BELO HORIZONTE;BELO HORIZONTE/NOVA LIMA/CAETE;CENTRO
BETIM;1;22/03/2020;310670;BELO HORIZONTE;BETIM;CENTRO
LAGOA DA PRATA;1;22/03/2020;313720;DIVINOPOLIS;LAGOA DA PRATA/STO ANT. MONTE;OESTE
OUTROS ESTADO/PAIS;1;22/03/2020;;;;
BELO HORIZONTE;22;23/03/2020;310620;BELO HORIZONTE;BELO HORIZONTE/NOVA LIMA/CAETE;CENTRO
BOM DESPACHO;1;23/03/2020;310740;DIVINOPOLIS;BOM DESPACHO;OESTE
CAMPOS ALTOS;1;23/03/2020;311150;UBERABA;ARAXA;TRIANGULO DO SUL
CONTAGEM;2;23/03/2020;311860;BELO HORIZONTE;CONTAGEM;CENTRO
